lsoa,60plus_perc,females_perc,employment_score,crime_score,outdoor_environment_score,lvl_4plus_perc
E01000001,28.386657590197412,47.64505119453925,0.015,-1.649,1.2009999999999998,77.55555555555556
E01000002,28.795098706603127,46.58774373259053,0.017,-1.692,0.8059999999999999,79.19566898685228
E01000003,23.434201266713576,46.953937592867746,0.08800000000000001,-0.987,1.913,56.843800322061185
E01000005,17.357001972386588,46.39593908629442,0.14400000000000002,-0.831,1.5830000000000002,34.47015834348356
E01000006,10.869565217391305,49.14856136230182,0.094,0.746,0.59,32.92589763177998
E01000007,6.968876860622463,49.17325664989217,0.202,1.156,1.279,32.325141776937606
E01000008,4.458204334365325,47.085492227979266,0.17,0.526,1.048,24.184261036468328
E01000009,13.159325720500275,43.654822335025386,0.134,1.139,1.027,34.95212038303693
E01000010,4.4230769230769225,46.302816901408455,0.078,1.111,0.6579999999999999,44.86066697121973
E01000011,8.81477069684336,43.39045287637699,0.102,0.838,0.705,29.550827423167853
E01000012,5.281514698555056,48.29037348763809,0.124,0.915,0.992,33.108108108108105
E01000013,16.463768115942027,51.98795180722892,0.187,1.499,0.816,16.947791164658636
E01000014,14.679448771719592,53.07971014492754,0.165,1.514,0.6859999999999999,14.285714285714285
E01000015,8.900299529311082,53.190539937527895,0.177,0.608,0.256,17.770700636942674
E01000016,14.951573849878935,50.88576664630422,0.171,0.821,0.374,14.473684210526311
E01000017,13.686806411837239,51.50564617314931,0.21,0.831,0.525,19.73131821998321
E01000018,12.582384661473935,52.97432686286788,0.172,0.935,0.204,16.866438356164384
E01000019,14.874301675977652,53.518123667377395,0.18600000000000005,1.045,0.318,20.097087378640765
E01000020,13.903743315508022,50.16357688113413,0.163,0.586,0.22,20.56005895357406
E01000021,11.180512179887572,49.145028499050035,0.181,0.987,0.511,22.408026755852838
E01000022,11.12759643916914,52.968036529680354,0.173,0.563,0.412,18.360995850622405
E01000023,11.33241758241758,47.57194244604317,0.135,1.485,0.762,28.71736662883088
E01000024,12.640239341810027,53.892215568862284,0.14800000000000002,0.32,0.414,17.938144329896904
E01000025,13.545568039950064,51.95773772529522,0.17800000000000002,0.835,0.574,16.091954022988507
E01000027,16.493055555555557,54.710356933879474,0.17800000000000002,1.272,0.145,14.34327155519742
E01000028,17.914267434420985,53.84118786313751,0.214,0.237,0.145,20.476610767872906
E01000029,32.597730138713736,52.24719101123596,0.11,1.149,0.31,20.700152207001523
E01000030,14.220647773279353,52.898172323759795,0.181,0.911,0.434,17.365269461077844
E01000031,19.507692307692302,51.51515151515152,0.121,1.444,0.8140000000000001,24.920886075949365
E01000032,19.354838709677423,49.90791896869246,0.13699999999999998,1.214,0.8490000000000001,19.18559122944401
E01000033,15.60734463276836,52.094048493754606,0.215,0.358,0.569,14.228456913827655
E01000034,22.81167108753316,54.77839335180057,0.172,0.466,0.044,14.778761061946902
E01000035,19.2610539067232,51.42857142857142,0.128,0.6409999999999999,0.374,20.937752627324173
E01000036,15.373563218390805,49.51958610495196,0.099,0.6829999999999999,0.8590000000000001,22.79202279202279
E01000037,17.398843930635838,49.5260663507109,0.153,-0.319,0.34600000000000003,18.539325842696627
E01000038,24.068965517241374,52.52246026261231,0.121,0.105,0.246,15.384615384615385
E01000039,19.38271604938272,52.713661883967575,0.106,0.528,0.135,22.117647058823533
